Hugo_Symbol,n
PIK3CA,349
TP53,348
TTN,228
MUC16,140
CDH1,132
GATA3,131
KMT2C,104
MAP3K1,92
RYR2,90
FLG,82
SYNE1,79
HMCN1,75
USH2A,74
SPTA1,69
RYR3,68
OBSCN,66
ZFHX4,63
DST,61
CSMD1,60
NEB,60
PTEN,60
DMD,59
ABCA13,57
SYNE2,57
MUC4,55
MUC17,54
NCOR1,53
CSMD3,52
MUC5B,52
CACNA1E,51
FAT3,50
LRP1B,50
RYR1,50
PKHD1L1,49
DNAH11,48
RUNX1,48
APOB,46
DNAH17,46
HYDIN,46
XIRP2,46
CSMD2,45
LRP2,45
NF1,45
GPR98,44
HUWE1,44
MACF1,44
PCLO,44
ARID1A,43
DNAH9,43
DNAH8,42
MAP2K4,42
RELN,42
VPS13B,42
MDN1,41
MXRA5,41
DNAH5,40
PRUNE2,40
SPEN,40
AHNAK2,39
CUBN,39
FAT1,39
FCGBP,39
TENM1,39
AHNAK,38
KMT2D,38
LAMA1,38
LYST,38
MED12,38
RNF213,38
ANK2,37
ASPM,37
CACNA1C,37
MYCBP2,37
MYH9,37
SVEP1,37
TG,37
UBR4,37
USP34,37
ASTN1,36
DYNC1H1,36
FMN2,36
PDE4DIP,36
PTPRD,36
WDFY4,36
AFF2,35
ANK3,35
ASH1L,35
CHD6,35
DNAH10,35
DNAH14,35
DNAH3,35
HERC2,35
KIAA1109,35
PREX2,35
PRKDC,35
TEX15,35
CHD7,34
DNAH2,34
DNAH6,34
PIK3R1,34
SSPO,34
TPR,34
USP9X,34
AHCTF1,33
AKAP9,33
BIRC6,33
CDH23,33
CEP290,33
COL12A1,33
ERBB2,33
FLG2,33
FRAS1,33
GPR112,33
LRP1,33
PAPPA2,33
PKHD1,33
TBX3,33
UTRN,33
ASXL3,32
ATM,32
CACNA1A,32
CACNA1B,32
CHD4,32
COL6A3,32
DNAH1,32
F5,32
F8,32
FBN1,32
FLNC,32
FOXA1,32
GON4L,32
HERC1,32
LCT,32
MAP1A,32
MYO10,32
NOTCH2,32
PDZD2,32
SACS,32
SRCAP,32
UBR5,32
BRWD1,31
FAT2,31
FAT4,31
HRNR,31
KIAA2022,31
KIF4A,31
KMT2A,31
MGAM,31
MROH2B,31
PCDH15,31
PTPRB,31
RP1,31
TSHZ3,31
VPS13C,31
ADAMTSL3,30
AKT1,30
BRCA1,30
CENPE,30
CFH,30
CNTNAP5,30
COL6A5,30
DCHS2,30
DNAH7,30
MYO18B,30
NIPBL,30
SMG1,30
TLN1,30
TMEM132D,30
UNC13C,30
UNC5D,30
BRCA2,29
CACNA1F,29
CMYA5,29
DOCK11,29
DYNC2H1,29
FRMPD4,29
PKD1L1,29
PLXNA2,29
PLXNA4,29
RB1,29
TENM4,29
THSD7B,29
WDFY3,29
ABCA8,28
ALMS1,28
ANK1,28
COL14A1,28
DNAH12,28
DSCAM,28
FREM1,28
GOLGB1,28
HECW1,28
ITPR3,28
KIF26B,28
MEGF8,28
MKI67,28
MYH7,28
MYO16,28
SCN2A,28
SDK1,28
TCHH,28
ZAN,28
ZNF536,28
ADAMTSL1,27
ATRX,27
BOD1L1,27
CEP350,27
COL22A1,27
COL6A6,27
DMXL2,27
DNHD1,27
FLNA,27
FLNB,27
GRIN2A,27
IGSF10,27
KIAA1210,27
PHKA2,27
QSER1,27
RAPGEF6,27
SPHKAP,27
TAF1,27
TENM2,27
VPS13D,27
ZFHX3,27
AMER1,26
BSN,26
C5orf42,26
CBFB,26
CDC42BPA,26
CTCF,26
DYSF,26
EPHB1,26
EYS,26
FREM2,26
HECTD4,26
ITPR2,26
LAMA2,26
MAP2,26
MED12L,26
MTOR,26
MYH1,26
MYH11,26
MYO7A,26
NBPF1,26
PCDHB8,26
PCNXL2,26
PXDNL,26
RIMBP2,26
SCN8A,26
TAF1L,26
TRRAP,26
ZNF462,26
ARHGEF11,25
ATP2B1,25
ATP2B3,25
CHD8,25
CR1,25
DCC,25
DMXL1,25
DOCK10,25
ERBB3,25
FAM135B,25
FER1L6,25
HELZ,25
HSPG2,25
ITPR1,25
LAMA3,25
LRBA,25
LRRK2,25
MYH8,25
MYLK,25
NAV3,25
NBAS,25
NBEA,25
NID1,25
PCDH11X,25
PCDH19,25
PIWIL1,25
REXO1L1P,25
RPGR,25
SCN10A,25
SETD2,25
SLITRK2,25
UNC79,25
VPS13A,25
VWF,25
ZDBF2,25
ZNF292,25
ABCA12,24
ABCC9,24
AK9,24
ANKRD11,24
ARHGAP35,24
ARID1B,24
ATP10B,24
BAGE2,24
BRINP3,24
C2orf16,24
CIT,24
COL4A5,24
CREBBP,24
DIDO1,24
EGFR,24
FASN,24
FBN3,24
GRIA3,24
HIVEP2,24
HTT,24
MYH13,24
MYH7B,24
NCKAP5,24
PCNT,24
PLCE1,24
RIMS2,24
ROS1,24
SCN5A,24
SCN7A,24
SF3B1,24
SHANK2,24
SI,24
SIPA1L2,24
STAG2,24
THSD7A,24
TRPM6,24
WNK3,24
ZFPM2,24
ADAMTS20,23
AKAP6,23
ANKRD30A,23
BAZ2B,23
BPTF,23
BRWD3,23
CACNA1D,23
CDH12,23
CHD9,23
CPAMD8,23
CRB1,23
ERBB4,23
FRY,23
GRIN2B,23
HIVEP1,23
KAT6A,23
KAT6B,23
KDM6A,23
LAMB4,23
LOXHD1,23
MAGI1,23
MIA3,23
MYH10,23
MYH4,23
MYO7B,23
NCOA6,23
NFASC,23
NIN,23
OTOGL,23
PAPPA,23
PEG3,23
PLEC,23
RANBP2,23
RUNX1T1,23
SCN4A,23
SEMA3D,23
SETX,23
SIPA1L1,23
SNRNP200,23
SPATA31D1,23
SPTB,23
SRRM2,23
TENM3,23
TET1,23
WNK1,23
ABCA9,22
ACACA,22
ACTN2,22
ANKHD1,22
ARFGEF1,22
BACH2,22
CCDC180,22
CEP170,22
CEP250,22
CHD5,22
CNOT1,22
CNTRL,22
CTTNBP2,22
DNAJC13,22
DOCK4,22
DSCAML1,22
EML5,22
EML6,22
EP300,22
EPG5,22
ESPL1,22
FAM47C,22
FN1,22
GCC2,22
HDLBP,22
JMJD1C,22
KALRN,22
KCNT2,22
KIAA1549L,22
KMT2E,22
LAMA4,22
LPHN3,22
MALAT1,22
MGA,22
MLLT4,22
MYO3A,22
MYO5B,22
MYOM2,22
NALCN,22
NAV2,22
NBEAL1,22
NLGN4X,22
NUP210L,22
PLCH1,22
REV3L,22
SCN1A,22
SCN3A,22
STAB1,22
SZT2,22
TACC2,22
TDRD6,22
TEP1,22
TNRC6B,22
TNXB,22
TRIO,22
UGGT2,22
VCAN,22
WDR44,22
YLPM1,22
ABCB1,21
ADCY10,21
ANKRD17,21
ANKRD26,21
ARHGAP31,21
ATP7A,21
BRINP1,21
C1orf173,21
C2orf71,21
CACNA1S,21
CENPF,21
CFTR,21
COL11A1,21
COL4A6,21
COL5A1,21
CSPP1,21
DLC1,21
DSP,21
GCN1L1,21
HEATR1,21
HECW2,21
IGF2R,21
ITGAX,21
KCNB2,21
KDM5B,21
KIAA0947,21
KIF16B,21
KIF1B,21
LAMB1,21
MADD,21
MAP3K4,21
MED13,21
MED23,21
MYH14,21
MYH6,21
NEDD9,21
NOS1,21
NPHP4,21
PCDHB7,21
PIEZO2,21
PLCB4,21
RGAG1,21
RLF,21
SCN11A,21
SCN9A,21
SEC16B,21
SIPA1L3,21
SLIT2,21
SON,21
SPTBN2,21
SVIL,21
TAB3,21
TECTA,21
TNC,21
TNR,21
TNRC6A,21
TRAPPC9,21
TRPM3,21
TRPS1,21
UNC13A,21
UTP20,21
WDR52,21
XRN1,21
ZFC3H1,21
ZNF208,21
ADCY9,20
AGBL1,20
AKAP13,20
ANKRD12,20
APC,20
ARHGAP29,20
